State,FIPS,County,Population,Land Area (sq mi),Water Area (sq mi),Total Area (sq mi),Latitude,Longitude,Wind Speed (mph)
KY,21003,Allen,"19,956",344.338,7.526,351.864,36.75077,–86.192458,14.29
LA,22003,Allen,"25,764",761.847,4.107,765.954,30.652744,–92.819605,18.65
OH,39003,Allen,"106,331",402.496,4.353,406.849,40.771528,–84.106546,17.79
SC,45005,Allendale,"10,419",408.09,4.327,412.417,32.979784,–81.363421,14.5
MI,26007,Alpena,"29,598",571.86,"1,123.06","1,694.92",44.894954,–83.426574,19.25
CA,6003,Alpine,"1,175",738.332,4.848,743.18,38.61761,–119.798999,18.08
CA,6005,Amador,"38,091",594.583,11.373,605.956,38.44355,–120.653856,20.94
VA,51007,Amelia,"12,690",355.269,3.253,358.522,37.336131,–77.973218,15.16
VA,51009,Amherst,"32,353",473.934,4.915,478.849,37.630362,–79.147848,7.42
MS,28005,Amite,"13,131",730.1,1.497,731.597,31.203933,–90.795542,16.47
AK,2020,Anchorage,"291,826","1,704.68",256.318,"1,961.00",61.177549,–149.274354,16.05
KS,20003,Anderson,"8,102",579.646,4.088,583.734,38.215114,–95.292046,16.78
KY,21005,Anderson,"21,421",201.832,2.438,204.27,38.005396,–84.986417,16.38
SC,45007,Anderson,"187,126",715.426,42.01,757.436,34.519549,–82.638086,16.18
TN,47001,Anderson,"75,129",337.162,7.634,344.796,36.116731,–84.195418,15.42
TX,48001,Anderson,"58,458","1,062.60",15.399,"1,078.00",31.841266,–95.661744,13.23
MO,29003,Andrew,"17,291",432.703,3.726,436.429,39.988863,–94.803551,15.86
TX,48003,Andrews,"14,786","1,500.71",0.37,"1,501.08",32.312258,–102.640206,14.99
ME,23001,Androscoggin,"107,702",467.927,29.193,497.12,44.167681,–70.207435,11.44
TX,48005,Angelina,"86,771",797.778,66.928,864.706,31.251951,–94.611056,17
MD,24003,Anne Arundel,"537,656",414.902,172.899,587.801,38.993374,–76.560511,23.06
MN,27003,Anoka,"330,844",423.01,23.101,446.111,45.27411,–93.242723,18.14
NC,37007,Anson,"26,948",531.452,5.642,537.094,34.974996,–80.109959,17.27
NE,31003,Antelope,"6,685",857.218,1.374,858.592,42.183225,–98.058037,16.28
MI,26009,Antrim,"23,580",475.703,126.067,601.77,45.005457,–85.175625,19.3
AZ,4001,Apache,"71,518","11,197.52",20.917,"11,218.44",35.385845,–109.493747,22.58
IA,19007,Appanoose,"12,887",497.292,18.951,516.243,40.744683,–92.870345,23.21
GA,13001,Appling,"18,236",507.081,5.18,512.261,31.739712,–82.290103,16.6
VA,51011,Appomattox,"14,973",333.494,1.237,334.731,37.370725,–78.810940,19.78
TX,48007,Aransas,"23,158",252.074,275.917,527.991,28.104225,–96.977983,18.43
CO,8005,Arapahoe,"572,003",798.1,7.337,805.437,39.644632,–104.331733,18.36
TX,48009,Archer,"9,054",903.11,22.308,925.418,33.616305,–98.687267,16.54
CO,8007,Archuleta,"12,084","1,350.18",5.339,"1,355.51",37.202395,–107.050863,17.43
MI,26011,Arenac,"15,899",363.191,317.499,680.69,44.03687,–83.740675,29.89
AR,5001,Arkansas,"19,019",988.77,44.979,"1,033.75",34.289574,–91.376547,15.42
VA,51013,Arlington,"207,627",25.974,0.094,26.068,38.878337,–77.100703,15.42
PA,42005,Armstrong,"68,941",653.203,10.64,663.843,40.812379,–79.464128,19.26
TX,48011,Armstrong,"1,901",909.109,4.718,913.827,34.964179,–101.356636,23.7
ME,23003,Aroostook,"71,870","6,671.33",156.238,"6,827.57",46.727057,–68.649410,8.67
NE,31005,Arthur,460,715.355,2.952,718.307,41.570856,–101.697045,14
LA,22005,Ascension,"107,215",289.981,12.805,302.786,30.202946,–90.910023,15.32
NC,37009,Ashe,"27,281",426.135,3.134,429.269,36.436305,–81.498770,20.52
OH,39005,Ashland,"53,139",422.95,3.849,426.799,40.843274,–82.270121,17
WI,55003,Ashland,"16,157","1,045.04","1,247.35","2,292.38",46.546291,–90.665154,14.78
AR,5003,Ashley,"21,853",925.349,15.178,940.527,33.190835,–91.772267,21.98
OH,39007,Ashtabula,"101,497",701.931,665.971,"1,367.90",41.906644,–80.745641,9.91
WA,53003,Asotin,"21,623",636.213,4.431,640.644,46.181861,–117.227781,15.83
LA,22007,Assumption,"23,421",338.658,25.872,364.53,29.899884,–91.050528,17.68
TX,48013,Atascosa,"44,911","1,219.54",1.929,"1,221.47",28.894296,–98.528187,14.67
KS,20005,Atchison,"16,924",431.172,2.648,433.82,39.532544,–95.313398,15.79
MO,29005,Atchison,"5,685",547.302,2.826,550.128,40.431846,–95.437555,17.91
OH,39009,Athens,"64,757",503.598,4.843,508.441,39.333848,–82.046008,17.51
GA,13003,Atkinson,"8,375",339.382,5.152,344.534,31.300562,–82.883614,14.4
NJ,34001,Atlantic,"274,549",555.704,116.122,671.826,39.469354,–74.633758,13.55
OK,40005,Atoka,"14,182",975.517,14.395,989.912,34.374813,–96.034705,18.34
MS,28007,Attala,"19,564",734.982,1.707,736.689,33.09047,–89.588622,19.99
MO,29007,Audrain,"25,529",692.235,4.587,696.822,39.21448,–91.843415,14.78
IA,19009,Audubon,"6,119",442.961,0.445,443.406,41.679178,–94.904312,19.23
OH,39011,Auglaize,"45,949",401.386,0.519,401.905,40.561309,–84.224018,19.8
VA,51015,Augusta,"73,750",966.999,3.856,970.855,38.167807,–79.146682,14.1
SD,46003,Aurora,"2,710",708.425,4.325,712.75,43.724719,–98.577587,13.75
TX,48015,Austin,"28,417",646.508,9.875,656.383,29.891901,–96.270170,15.66
NC,37011,Avery,"17,797",247.087,0.142,247.229,36.072894,–81.920363,17.96
LA,22009,Avoyelles,"42,073",832.434,33.31,865.744,31.085094,–91.993798,13.83
CO,8009,Baca,"3,788","2,554.97",2.372,"2,557.34",37.303144,–102.535457,23.92
GA,13005,Bacon,"11,096",258.576,27.247,285.823,31.563327,–82.387859,17.41
TX,48017,Bailey,"7,165",826.797,0.684,827.481,34.067521,–102.830345,12.43
FL,12003,Baker,"27,115",585.231,3.74,588.971,30.324442,–82.302284,16.69
GA,13007,Baker,"3,451",341.944,7.195,349.139,31.319622,–84.454857,20.26
OR,41001,Baker,"16,134","3,068.36",20.012,"3,088.37",44.703427,–117.691933,12.96
AL,1003,Baldwin,"182,265","1,589.78",437.527,"2,027.31",30.659218,–87.746067,13.83
GA,13009,Baldwin,"45,720",257.844,9.567,267.411,33.059532,–83.255362,18.89
KY,21007,Ballard,"8,249",246.659,27.031,273.69,37.05112,–89.009178,7.86
MD,24005,Baltimore,"805,029",598.302,83.454,681.756,39.443167,–76.616569,9.58
MD,24510,Baltimore [9],"620,961",80.944,11.108,92.052,39.300214,–76.610516,19.64
SC,45009,Bamberg,"15,987",393.37,2.193,395.563,33.203021,–81.053161,16.85
TX,48019,Bandera,"20,485",790.961,6.675,797.636,29.755748,–99.260682,14.74
GA,13011,Banks,"18,395",232.091,1.796,233.887,34.351922,–83.498441,21.75
NE,31007,Banner,690,746.114,0.153,746.267,41.53975,–103.726263,18.86
ID,16005,Bannock,"82,839","1,111.99",35.444,"1,147.43",42.692939,–112.228986,16.84
MI,26013,Baraga,"8,860",898.257,170.514,"1,068.77",46.696068,–88.356022,23.14
KS,20007,Barber,"4,861","1,134.07",2.093,"1,136.17",37.222906,–98.685052,18.14
AL,1005,Barbour,"27,457",884.876,19.639,904.515,31.87067,–85.405456,18.41
WV,54001,Barbour,"16,589",341.059,1.791,342.85,39.139754,–79.996914,17.33
ND,38003,Barnes,"11,066","1,491.55",21.851,"1,513.41",46.94255,–98.070195,21.57
MA,25001,Barnstable,"215,888",393.723,911.814,"1,305.54",41.798819,–70.211083,18.47
SC,45011,Barnwell,"22,621",548.393,8.87,557.263,33.26068,–81.433753,15.84
KY,21009,Barren,"42,173",487.541,12.458,499.999,36.963614,–85.924990,15.55
WI,55005,Barron,"45,870",862.711,27.053,889.764,45.437192,–91.852892,13.89
GA,13013,Barrow,"69,367",160.309,2.632,162.941,33.992009,–83.712303,18.65
MI,26015,Barry,"59,173",553.092,23.95,577.042,42.582811,–85.314550,16.32
MO,29009,Barry,"35,597",778.251,12.719,790.97,36.699378,–93.834326,16.58
IN,18005,Bartholomew,"76,794",406.908,2.617,409.525,39.205843,–85.897999,25.13
KS,20009,Barton,"27,674",895.4,5.234,900.634,38.481239,–98.767837,21.59
MO,29011,Barton,"12,402",591.921,4.801,596.722,37.500799,–94.344089,15.33
GA,13015,Bartow,"100,157",459.544,10.569,470.113,34.240918,–84.838188,14.69
TX,48021,Bastrop,"74,171",888.15,7.396,895.546,30.103128,–97.311859,19.04
MO,29013,Bates,"17,049",836.689,14.692,851.381,38.257217,–94.339246,15.22
KY,21011,Bath,"11,591",278.792,5.212,284.004,38.152249,–83.737641,21.54
VA,51017,Bath,"4,731",529.158,5.425,534.583,38.068988,–79.732898,15.6
AR,5005,Baxter,"41,513",554.283,32.432,586.715,36.28071,–92.330438,11.04
FL,12005,Bay,"168,852",758.459,274.694,"1,033.15",30.237563,–85.631348,15.79
MI,26017,Bay,"107,771",442.302,188.415,630.717,43.699711,–83.978701,15.83
WI,55007,Bayfield,"15,014","1,477.86",563.811,"2,041.67",46.634199,–91.177282,16.59
TX,48023,Baylor,"3,726",867.482,33.585,901.067,33.618172,–99.197228,21.89
SD,46005,Beadle,"17,398","1,258.71",6.104,"1,264.81",44.418265,–98.279422,17.68
ID,16007,Bear Lake,"5,986",974.785,74.623,"1,049.41",42.285833,–111.327445,19.4
NC,37013,Beaufort,"47,759",827.192,131.023,958.215,35.482313,–76.842014,16.29
SC,45013,Beaufort,"162,233",576.28,347.116,923.396,32.358147,–80.689320,13.2
LA,22011,Beauregard,"35,654","1,157.34",8.494,"1,165.84",30.645018,–93.340253,14.68
OK,40007,Beaver,"5,636","1,814.67",2.837,"1,817.51",36.748334,–100.483056,17.8
PA,42007,Beaver,"170,539",434.712,9.331,444.043,40.68414,–80.350721,16.82
UT,49001,Beaver,"6,629","2,589.88",2.058,"2,591.94",38.357535,–113.238948,22.38
MT,30001,Beaverhead,"9,246","5,541.62",30.268,"5,571.89",45.133863,–112.892869,22.34
MN,27005,Becker,"32,504","1,315.20",129.98,"1,445.18",46.937629,–95.741757,14.9
OK,40009,Beckham,"22,119",901.805,2.134,903.939,35.273945,–99.671638,17.85
PA,42009,Bedford,"49,762","1,012.30",4.609,"1,016.91",39.997115,–78.489980,17.27
TN,47003,Bedford,"45,058",473.635,1.152,474.787,35.51366,–86.458294,21.96
VA,51019,Bedford,"68,676",753.021,16.233,769.254,37.312408,–79.527947,14.21
VA,51515,Bedford [9],"6,222",6.878,0.024,6.902,37.338156,–79.520705,17.07
TX,48025,Bee,"31,861",880.239,0.095,880.334,28.416077,–97.742586,14.19
NH,33001,Belknap,"60,088",400.232,68.35,468.582,43.519109,–71.425366,16.93
KY,21013,Bell,"28,691",359,2.116,361.116,36.72268,–83.681046,16.1
TX,48027,Bell,"310,235","1,051.02",36.821,"1,087.84",31.04211,–97.481921,19.67
OH,39013,Belmont,"70,400",532.129,9.145,541.274,40.017682,–80.967727,16.19
MN,27007,Beltrami,"44,442","2,504.94",550.816,"3,055.76",47.878825,–94.986698,20.91
GA,13017,Ben Hill,"17,634",250.121,3.787,253.908,31.740776,–83.147190,20.3
ID,16009,Benewah,"9,285",776.617,7.331,783.948,47.218451,–116.633541,20.56
SD,46007,Bennett,"3,431","1,184.71",5.796,"1,190.51",43.184826,–101.676426,18.76
VT,50003,Bennington,"37,125",674.98,2.676,677.656,43.035325,–73.111460,16.32
ND,38005,Benson,"6,660","1,388.71",50.789,"1,439.50",48.071738,–99.361987,15.3
CO,8011,Bent,"6,499","1,512.86",28.222,"1,541.08",37.931891,–103.077584,15.2
AR,5007,Benton,"221,339",847.357,36.549,883.906,36.337825,–94.256187,16.92
IN,18007,Benton,"8,854",406.418,0.091,406.509,40.608253,–87.315479,15.28
IA,19011,Benton,"26,076",716.265,2.224,718.489,42.092547,–92.057630,21.23
MN,27009,Benton,"38,451",408.301,4.757,413.058,45.701227,–94.001440,19.61
MS,28009,Benton,"8,729",406.616,2.038,408.654,34.810773,–89.200029,15.18
MO,29015,Benton,"19,056",704.06,48.487,752.547,38.301036,–93.287942,19.61
OR,41003,Benton,"85,579",675.941,2.671,678.612,44.490623,–123.426317,21.61
TN,47005,Benton,"16,489",394.142,42.089,436.231,36.069253,–88.071212,17.94
WA,53005,Benton,"175,177","1,700.38",59.619,"1,760.00",46.228072,–119.516864,12.71
MI,26019,Benzie,"17,525",319.704,539.864,859.568,44.648621,–86.494317,12.33
NJ,34003,Bergen,"905,116",233.009,13.662,246.671,40.95909,–74.074522,18.26
SC,45015,Berkeley,"177,843","1,098.86",130.38,"1,229.24",33.2077,–79.953655,21.89
WV,54003,Berkeley,"104,169",321.142,0.415,321.557,39.457854,–78.032338,18.1
PA,42011,Berks,"411,442",856.506,9.249,865.755,40.413957,–75.926860,16.15
MA,25003,Berkshire,"131,219",926.825,19.603,946.428,42.375314,–73.213948,17.39
NM,35001,Bernalillo,"662,564","1,160.83",6.36,"1,167.19",35.054002,–106.669065,19.37
GA,13019,Berrien,"19,286",451.897,5.986,457.883,31.274308,–83.231906,15.58
MI,26021,Berrien,"156,813",567.747,"1,013.73","1,581.47",41.792639,–86.741822,17.36
NC,37015,Bertie,"21,282",699.27,41.979,741.249,36.06133,–76.962367,15.81
AK,2050,Bethel [4],"17,013","40,570.00","4,934.20","45,504.21",60.928916,–160.153350,14.42
TX,48029,Bexar,"1,714,773","1,239.82",16.266,"1,256.09",29.448671,–98.520147,15.61
AL,1007,Bibb,"22,915",622.582,3.587,626.169,33.015893,–87.127148,16.08
GA,13021,Bibb,"155,547",249.762,5.604,255.366,32.808844,–83.694193,20.29
LA,22013,Bienville,"14,353",811.268,10.802,822.07,32.344268,–93.061513,21.92
MT,30003,Big Horn,"12,865","4,995.46",19.148,"5,014.61",45.407869,–107.518163,19.29
WY,56003,Big Horn,"11,668","3,137.10",21.788,"3,158.89",44.525654,–107.993321,23.33
MN,27011,Big Stone,"5,269",499.022,29.095,528.117,45.419925,–96.402226,20.02
ND,38007,Billings,783,"1,148.85",4.622,"1,153.48",47.009283,–103.364924,13.98
ID,16011,Bingham,"45,607","2,093.98",26.428,"2,120.41",43.216357,–112.399206,15.93
IA,19013,Black Hawk,"131,090",565.769,6.911,572.68,42.472888,–92.306059,18.58
IN,18009,Blackford,"12,766",165.08,0.503,165.583,40.472672,–85.323730,19.05
NC,37017,Bladen,"35,190",874.328,12.83,887.158,34.591949,–78.539513,22.65
ID,16013,Blaine,"21,376","2,643.59",17.12,"2,660.71",43.394482,–113.955290,14.85
MT,30005,Blaine,"6,491","4,227.55",11.23,"4,238.78",48.428282,–108.967648,16.56
NE,31009,Blaine,478,710.874,3.646,714.52,41.92523,–99.990771,15.7
OK,40011,Blaine,"11,943",928.424,10.368,938.792,35.877782,–98.428934,16.71
PA,42013,Blair,"127,089",525.8,1.269,527.069,40.497926,–78.310640,14.48
TX,48031,Blanco,"10,497",709.251,4.176,713.427,30.265605,–98.399977,15.04
VA,51021,Bland,"6,824",357.725,1.003,358.728,37.130612,–81.125853,17.21
GA,13023,Bleckley,"13,063",215.87,3.262,219.132,32.435403,–83.331717,14.54
TN,47007,Bledsoe,"12,876",406.425,0.324,406.749,35.593668,–85.205979,16.53
AL,1009,Blount,"57,322",644.776,5.852,650.628,33.977448,–86.567246,18.41
TN,47009,Blount,"123,010",558.706,7.841,566.547,35.688185,–83.922973,22.3
MN,27013,Blue Earth,"64,013",747.844,17.749,765.593,44.038225,–94.064071,15.45
ID,16015,Boise,"7,028","1,899.24",7.449,"1,906.69",43.987275,–115.715111,20.91
MS,28011,Bolivar,"34,145",876.573,29.244,905.817,33.799278,–90.884476,24.07
MO,29017,Bollinger,"12,363",617.906,3.293,621.199,37.318349,–90.024601,18.66
SD,46009,Bon Homme,"7,070",563.701,17.961,581.662,42.986031,–97.885613,22.78
IL,17005,Bond,"17,768",380.279,2.481,382.76,38.885924,–89.436592,20.02
ID,16017,Bonner,"40,877","1,734.57",184.926,"1,919.50",48.312512,–116.596940,16.22
ID,16019,Bonneville,"104,234","1,866.08",34.559,"1,900.64",43.395171,–111.621878,21.86
AR,5009,Boone,"36,903",590.231,11.6,601.831,36.304308,–93.079204,19.53
IL,17007,Boone,"54,165",280.719,1.305,282.024,42.318983,–88.824295,19.75
IN,18011,Boone,"56,640",422.913,0.339,423.252,40.050892,–86.469014,15.07
IA,19015,Boone,"26,306",571.569,2.071,573.64,42.038601,–93.939138,19.57
KY,21015,Boone,"118,811",246.359,10.105,256.464,38.974595,–84.731444,16.67
MO,29019,Boone,"162,642",685.414,5.567,690.981,38.989657,–92.310779,19.62
NE,31011,Boone,"5,505",686.554,0.664,687.218,41.7054,–98.066794,17.43
WV,54005,Boone,"24,629",501.543,1.653,503.196,38.022838,–81.713314,15.95
TX,48033,Borden,641,897.443,8.609,906.052,32.744062,–101.433033,16.34
TX,48035,Bosque,"18,212",982.978,19.565,"1,002.54",31.900764,–97.637632,20.15
LA,22015,Bossier,"116,979",840.057,27.163,867.22,32.696202,–93.617977,17.28
VA,51023,Botetourt,"33,148",541.202,4.709,545.911,37.553193,–79.805318,21.62
ND,38009,Bottineau,"6,429","1,668.42",28.927,"1,697.35",48.794412,–100.831257,23.06
CO,8013,Boulder,"294,567",726.289,14.081,740.37,40.094826,–105.398382,18.19
ID,16021,Boundary,"10,972","1,268.56",9.298,"1,277.86",48.773065,–116.524619,16.13
KS,20011,Bourbon,"15,173",635.471,3.621,639.092,37.8561,–94.850928,17.79
KY,21017,Bourbon,"19,985",289.719,1.873,291.592,38.202562,–84.209860,23.98
TX,48037,Bowie,"92,565",885.006,37.962,922.968,33.446051,–94.422375,20.86
ND,38011,Bowman,"3,151","1,161.81",5.246,"1,167.05",46.107807,–103.506586,18.91
NE,31013,Box Butte,"11,308","1,075.29",2.544,"1,077.84",42.215665,–103.087821,17.53
UT,49003,Box Elder,"49,975","5,745.55",983.766,"6,729.32",41.476021,–113.052922,16.13
KY,21019,Boyd,"49,542",159.864,2.158,162.022,38.360004,–82.681406,19.43
NE,31015,Boyd,"2,099",539.94,4.591,544.531,42.894448,–98.773022,19.51
KY,21021,Boyle,"28,432",180.169,2.493,182.662,37.6182,–84.873016,15.34
KY,21023,Bracken,"8,488",205.612,3.335,208.947,38.678523,–84.100355,18.08
FL,12007,Bradford,"28,520",293.962,6.527,300.489,29.946934,–82.166796,15.34
PA,42015,Bradford,"62,622","1,147.40",13.62,"1,161.02",41.791495,–76.502124,15.06
AR,5011,Bradley,"11,508",649.231,3.686,652.917,33.463819,–92.168164,19.53
TN,47011,Bradley,"98,963",328.762,2.687,331.449,35.153914,–84.859414,27.34
MI,26023,Branch,"45,248",506.369,13.307,519.676,41.918585,–85.066523,17.49
GA,13025,Brantley,"18,411",442.362,4.84,447.202,31.197334,–81.982978,16.15
WV,54007,Braxton,"14,523",510.812,5.461,516.273,38.699302,–80.731649,15.91
TX,48039,Brazoria,"313,166","1,357.70",250.886,"1,608.59",29.167818,–95.434647,13.97
TX,48041,Brazos,"194,851",585.445,5.793,591.238,30.656725,–96.302389,17.5
KY,21025,Breathitt,"13,878",492.413,2.854,495.267,37.521178,–83.322401,14.97
KY,21027,Breckinridge,"20,059",567.172,18.449,585.621,37.778109,–86.432829,14.07
IA,19017,Bremer,"24,276",435.477,3.927,439.404,42.78089,–92.327586,12.35
FL,12009,Brevard,"543,376","1,015.66",541.331,"1,557.00",28.298276,–80.700384,15.54
TX,48043,Brewster,"9,232","6,183.73",8.519,"6,192.25",29.808997,–103.252458,18.5
TX,48045,Briscoe,"1,637",900.001,1.571,901.572,34.525173,–101.205893,14.47
MA,25005,Bristol,"548,285",553.096,138.13,691.226,41.748576,–71.087062,12.32
AK,2060,Bristol Bay,997,503.843,383.72,887.563,58.731373,–156.986612,16.11
RI,44001,Bristol [6],"49,875",24.164,20.586,44.75,41.705271,–71.285053,20.84
VA,51520,Bristol [9],"17,835",13.013,0.14,13.153,36.616954,–82.157564,9.65
MT,30007,Broadwater,"5,612","1,192.54",46.216,"1,238.76",46.334476,–111.496103,17.2
NY,36005,Bronx [10],"1,385,108",42.096,15.382,57.478,40.848711,–73.852939,20.18
WV,54009,Brooke,"24,069",89.205,3.367,92.572,40.272645,–80.578691,16.44
SD,46011,Brookings,"31,965",792.206,12.729,804.935,44.376675,–96.797797,16.92
GA,13027,Brooks,"16,243",493.046,4.755,497.801,30.833696,–83.588971,19.15
TX,48047,Brooks,"7,223",943.364,0.286,943.65,27.034994,–98.215276,19.18
NY,36007,Broome,"200,600",705.766,9.749,715.515,42.161977,–75.830291,13.61
CO,8014,Broomfield,"55,889",33.034,0.566,33.6,39.953383,–105.052125,14.18
FL,12011,Broward,"1,748,066","1,209.79",113.077,"1,322.86",26.19352,–80.476658,18.3
IL,17009,Brown,"6,937",305.607,1.598,307.205,39.962069,–90.750310,16.48
IN,18013,Brown,"15,242",311.981,4.65,316.631,39.192585,–86.239410,19.29
KS,20013,Brown,"9,984",570.872,1.234,572.106,39.825931,–95.569905,15.61
MN,27015,Brown,"25,893",611.09,7.374,618.464,44.246542,–94.733647,18.56
NE,31017,Brown,"3,145","1,221.33",3.789,"1,225.12",42.34939,–99.923176,21.59
OH,39015,Brown,"44,846",490.016,3.436,493.452,38.931377,–83.866772,16.81
SD,46013,Brown,"36,531","1,712.98",17.97,"1,730.95",45.589254,–98.352175,18.86
TX,48049,Brown,"38,106",944.433,12.521,956.954,31.764103,–98.998470,21.71
WI,55009,Brown,"248,007",529.708,86.001,615.709,44.473961,–87.995926,17.54
SD,46015,Brule,"5,255",817.24,29.236,846.476,43.72988,–99.092941,18.26
NC,37019,Brunswick,"107,431",846.973,202.851,"1,049.82",34.038708,–78.227688,11.13
VA,51025,Brunswick,"17,434",566.173,3.212,569.385,36.764531,–77.860916,15.03
GA,13029,Bryan,"30,233",435.967,18.489,454.456,32.017969,–81.438543,16.2
OK,40013,Bryan,"42,416",904.471,39.471,943.942,33.964004,–96.264137,17.45
IA,19019,Buchanan,"20,958",571.02,2.096,573.116,42.470328,–91.838666,16.45
MO,29021,Buchanan,"89,201",408.027,6.631,414.658,39.66037,–94.808173,20.59
VA,51027,Buchanan,"24,098",502.763,1.08,503.843,37.26812,–82.038151,16.92
VA,51029,Buckingham,"17,146",579.657,3.899,583.556,37.573928,–78.529169,20.94
PA,42017,Bucks,"625,249",604.307,17.567,621.874,40.336887,–75.107060,17.76
IA,19021,Buena Vista,"20,260",574.915,5.312,580.227,42.741522,–95.141433,16.31
VA,51530,Buena Vista [9],"6,650",6.704,0.086,6.79,37.731663,–79.356375,22.05
NE,31019,Buffalo,"46,102",968.112,7.287,975.399,40.855226,–99.074983,17.24
SD,46017,Buffalo,"1,912",471.384,16.356,487.74,44.044306,–99.203998,16.41
WI,55011,Buffalo,"13,587",671.635,37.959,709.594,44.389759,–91.758714,12.49
KY,21029,Bullitt,"74,319",297.024,3.241,300.265,37.969572,–85.703036,18.6
GA,13031,Bulloch,"70,217",672.809,15.816,688.625,32.393408,–81.743810,19.34
AL,1011,Bullock,"10,914",622.805,2.338,625.143,32.101759,–85.717261,20.3
NC,37021,Buncombe,"238,318",656.672,3.469,660.141,35.609371,–82.530426,16.98
